ensembl_gene_id	external_gene_id	entrezgene	chromosome_name	start_position	end_position	strand
ENSG00000223727	AC026188.1	NA	3	3292371	3668980	-1
ENSG00000223036	AC024158.1	NA	3	3688140	3688262	1
ENSG00000144455	SUMF1	285362	3	3742498	4508965	-1
ENSG00000175928	LRRN1	57633	3	3841121	3889387	1
ENSG00000263746	MIR4277	100422966	5	1708900	1708983	-1
ENSG00000260066	CTD-2587M23.1	NA	5	1725264	1728287	1
ENSG00000171421	MRPL36	64979	5	1798500	1801480	-1
ENSG00000145494	NDUFS6	4726	5	1801514	1816719	1
ENSG00000249966	CTD-2194D22.1	NA	5	1851064	1851611	1
ENSG00000250417	CTD-2194D22.2	101929034	5	1856084	1856682	-1
ENSG00000113430	IRX4	50805	5	1877541	1887350	-1
ENSG00000249116	CTD-2194D22.3	NA	5	1884080	1884763	1
ENSG00000249326	CTD-2194D22.4	101929081	5	1887446	1900607	1
